School Code,School Name,School Type,Town,Zip,Grade,District Name,District Code,9_Enrollment,10_Enrollment,11_Enrollment,12_Enrollment,SP_Enrollment,TOTAL_Enrollment,First Language Not English,% First Language Not English,English Language Learner,% English Language Learner,Students With Disabilities,% Students With Disabilities,High Needs,% High Needs,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Total # of Classes,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),% Attending College,% Private Two-Year,% Private Four-Year,% Public Two-Year,% Public Four-Year,% MA Community College,% MA State University,% UMass,SAT_Tests Taken,MCAS_10thGrade_Math_SGP,MCAS_10thGrade_Math_Incl. in SGP(#),MCAS_10thGrade_English_SGP,MCAS_10thGrade_English_Incl. in SGP(#),School Accountability Percentile (1-99),Progress and Performance Index (PPI) - All Students,Charter School,Public School
8760605,Bay Path Regional Vocational Technical High School,Public School,Charlton,1507,"09,10,11,12",Southern Worcester County Regional Vocational Technical,8760000,304,299,265,246,0,1114,4.0,0.4,0.0,0.0,163.0,14.6,403.0,36.2,298.0,26.8,0.5,0.4,6.7,91.3,0.1,0.0,0.9,58.0,42.0,883.0,13.9,1118.0,7813907.0,72553.0,108.0,19725658.0,1082.5,18222.32,19899772.0,1112.9,17881.01,261.0,94.3,1.9,0.8,0.4,2.7,0.0,260.0,110.0,42.3,0.9,33.6,45.5,20.0,42.7,14.5,4.5,130.0,60.0,255.0,49.0,253.0,55.0,84.0,0,1
7660505,Southwick Regional School,Public School,Southwick,1077,"07,08,09,10,11,12",Southwick-Tolland-Granville Regional School District,7660000,114,125,128,120,2,737,18.0,2.4,6.0,0.8,140.0,19.0,221.0,30.0,124.0,16.8,1.9,0.4,3.8,92.8,0.0,0.0,1.1,50.6,49.4,439.0,15.3,793.0,8910144.0,62747.0,142.0,21144296.94,1636.9,12917.28,23498615.72,1756.6,13377.33,163.0,91.4,1.2,0.0,1.2,6.1,0.0,118.0,96.0,81.4,0.0,28.1,39.6,32.3,36.5,15.6,10.4,113.0,64.0,117.0,45.0,119.0,59.0,80.0,0,1
7670505,David Prouty High,Public School,Spencer,1562,"09,10,11,12",Spencer-E Brookfield,7670000,72,90,72,102,2,338,5.0,1.5,2.0,0.6,40.0,11.8,134.0,39.6,111.0,32.8,1.2,1.2,8.6,84.0,0.0,0.0,5.0,54.4,45.6,237.0,15.8,370.0,7179534.0,62539.0,115.0,20404672.0,1673.2,12195.0,24261252.0,1905.7,12730.89,108.0,74.1,9.3,0.9,2.8,13.0,0.0,96.0,66.0,68.8,0.0,24.2,28.8,47.0,27.3,31.8,12.1,61.0,51.0,49.0,30.0,50.0,25.0,75.0,0,1
2810475,Conservatory of the Arts,Public School,Springfield,1151,"06,07,08,09,10,11",Springfield,2810000,57,47,59,0,0,337,65.0,19.3,37.0,11.0,52.0,15.4,259.0,76.9,231.0,68.5,25.8,0.0,61.4,11.6,0.0,0.0,1.2,24.0,76.0,162.0,13.1,226.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,193.04054054054055,83.4718918918919,7.069459459459459,1.207297297297297,1.1256756756756756,7.082702702702703,0.042702702702702704,175.62191780821917,143.08797653958945,74.4982404692082,0.15249266862170088,32.550439882697944,32.0633431085044,35.23870967741935,30.900293255131963,12.958944281524927,13.473607038123166,140.24858757062148,34.5,50.0,36.0,49.0,51.50445103857567,75.01474926253687,0,1
2810575,Gateway to College at Holyoke Community College,Public School,Holyoke,1040,"09,10,11,12",Springfield,2810000,4,10,7,6,0,27,3.0,11.1,0.0,0.0,2.0,7.4,15.0,55.6,14.0,51.9,22.2,0.0,48.1,29.6,0.0,0.0,0.0,37.0,63.0,3.0,18.0,36.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,22.0,63.6,22.7,0.0,0.0,13.6,0.0,13.0,143.08797653958945,74.4982404692082,0.15249266862170088,32.550439882697944,32.0633431085044,35.23870967741935,30.900293255131963,12.958944281524927,13.473607038123166,140.24858757062148,50.57507507507508,167.36857142857144,50.83483483483484,166.0625,51.50445103857567,75.01474926253687,0,1
2810580,Gateway to College at Springfield Technical Community College,Public School,Springfield,1102,"09,10,11,12",Springfield,2810000,6,12,11,19,0,48,7.0,14.6,3.0,6.3,3.0,6.3,35.0,72.9,33.0,68.8,20.8,0.0,64.6,12.5,0.0,0.0,2.1,39.6,60.4,3.0,32.7,69.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,12.0,16.7,66.7,0.0,8.3,8.3,0.0,14.0,143.08797653958945,74.4982404692082,0.15249266862170088,32.550439882697944,32.0633431085044,35.23870967741935,30.900293255131963,12.958944281524927,13.473607038123166,2.0,50.57507507507508,167.36857142857144,50.83483483483484,166.0625,51.50445103857567,75.01474926253687,0,1
2810510,High School Of Commerce,Public School,Springfield,1105,"09,10,11,12",Springfield,2810000,373,299,338,218,22,1250,470.0,37.6,315.0,25.2,274.0,21.9,1065.0,85.2,923.0,73.8,19.8,1.5,69.3,8.2,0.0,0.0,1.1,53.2,46.8,733.0,15.8,1329.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,342.0,58.2,9.6,6.7,2.6,22.8,0.0,171.0,97.0,56.7,0.0,15.5,73.2,11.3,69.1,10.3,1.0,187.0,51.0,209.0,35.5,204.0,4.0,61.0,0,1
2810320,John J Duggan Middle,Public School,Springfield,1109,"06,07,08,09,10,11",Springfield,2810000,63,40,43,0,0,672,149.0,22.2,81.0,12.1,164.0,24.4,531.0,79.0,484.0,72.0,27.4,2.5,53.6,15.5,0.0,0.0,1.0,58.3,41.7,513.0,15.4,625.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,193.04054054054055,83.4718918918919,7.069459459459459,1.207297297297297,1.1256756756756756,7.082702702702703,0.042702702702702704,175.62191780821917,143.08797653958945,74.4982404692082,0.15249266862170088,32.550439882697944,32.0633431085044,35.23870967741935,30.900293255131963,12.958944281524927,13.473607038123166,140.24858757062148,43.0,30.0,59.0,30.0,26.0,56.0,0,1
2810560,Liberty Preparatory Academy,Public School,Springfield,1108,"09,10,11,12",Springfield,2810000,3,4,0,6,0,13,2.0,15.4,0.0,0.0,5.0,38.5,10.0,76.9,9.0,69.2,15.4,7.7,38.5,38.5,0.0,0.0,0.0,69.2,30.8,18.0,3.6,16.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,9.0,22.2,33.3,0.0,11.1,33.3,0.0,4.0,143.08797653958945,74.4982404692082,0.15249266862170088,32.550439882697944,32.0633431085044,35.23870967741935,30.900293255131963,12.958944281524927,13.473607038123166,140.24858757062148,50.57507507507508,167.36857142857144,50.83483483483484,166.0625,51.50445103857567,75.01474926253687,0,1
2810620,Roger L. Putnam Vocational Technical Academy,Public School,Springfield,1109,"09,10,11,12",Springfield,2810000,374,360,358,342,8,1442,406.0,28.2,145.0,10.1,231.0,16.0,1050.0,72.8,949.0,65.8,19.5,1.6,65.5,12.6,0.0,0.0,0.9,45.8,54.2,977.0,13.0,1408.0,130432206.0,65293.0,1998.0,380007148.3,25100.9,15139.18,436936351.03,29075.2,15027.78,298.0,92.6,1.7,2.7,0.3,2.7,0.0,281.0,164.0,58.4,0.0,17.7,66.5,15.9,64.0,11.6,2.4,265.0,46.0,334.0,57.0,331.0,18.0,88.0,0,1
